Algorithms,LUIMiner,LUG-Miner
foodmart,448.761,3924.0
foodmart,563.367,3950.133
foodmart,388.628,3980.63
foodmart,481.976,3924.007
foodmart,384.750,3924.008
foodmart,664.329,3924.008
